name,latitude,longitude,color
Arabana [ard],-28,137,#D0BE83
Arabela [arl],-2,-75.17,#9C4D91
Arabic [arb],30,42,#69465F
Arabic_Abha [acw-4],18.22,42.51,#58526D
Arabic_Afghanistan [acm-3],36.7,67.12,#63574D
Arabic_Algerian [arq],36,5,#94555C
Arabic_Andalusian [xaa],35.767,-5.8,#5F604D
Arabic_Basra [acm],30.5,47.825,#536556
Arabic_Bukhara [abh],39.77,64.43,#62575A
Arabic_Chad [shu],14,19,#6F7C5D
Arabic_Cypriot [acy],34.343,33.011,#7B6778
Arabic_Egyptian [arz],30,30,#664765
Arabic_Gulf [afb],24,54,#5A6170
Arabic_Harb [acw-5],25.81,42.87,#4C595E
Arabic_Hassaniya [mey],16.6,-7.25,#6C8251
Arabic_Hejazi [acw],21.543,41.173,#5F5851
Arabic_Hejazi_Al'Ula [acw-3],26.627,37.917,#635654
Arabic_Jordanian [ajp-2],32,36,#605255
Arabic_Khuzestan [acm-2],31.33,48.69,#535755
Arabic_Lebanese [apc-2],33.883,35.502,#9A6376
Arabic_Libyan [ayl],32,13.25,#5D6961
Arabic_Mardin [apc-3],37.363,40.91,#496452
Arabic_Mauritanian [mfe],18.083,-15.986,#8E7165
Arabic_Moroccan [ary],34,-7,#69485D
Arabic_Najdi [acw-2],23,45.5,#665956
Arabic_Omani [acx],23.589,58.556,#636350
Arabic_Palestinian [ajp],31.769,35.6,#976A5C
Arabic_Sa'idi [aec],25,32.75,#745877
Arabic_Saudi [ars],24.48,40,#9F5661
Arabic_Sudanese [apd],15.5,32.56,#60665A
Arabic_Syrian [apc],33,37,#605558
Arabic_Tunisian [aeb],36,10,#55555A
Arabic_Yemeni [jye],14,47,#6B6057
Arabic_Yemeni_Adeni [acq],11.5,43,#665F5A
Arabic_Yemeni_Hadhrami [ayh],16.67,49.5,#735B5D
Arabic_Yemeni_Tihamiyya [arb-3],13.083,43.833,#716665
Arabic_Yemeni_Zabidi [acq-2],14.2,43.317,#6C5B5B
Aragonese [arg],41,-1,#915976
Araki [akr],-15.629,166.957,#997E88
Aralle-Tabulahan [atq],-2.756,119.203,#9A808B
Arammba [stk],-8.25,141.5,#867162
Arandai [jbj],-2.17,133,#A55974
Aranese [oci-5],42.7,0.795,#557B5A
Araona  [aro],-12.333,-67.75,#744881
Arapaho [arp],39.565,-105.345,#893C9C
Arapesh_Muhiang [aoj],-3.564,142.9,#83728E
Arara do Acra [mcd-2],-8.841,-72.315,#774E75
Arara do Mato Grosso [mcd-3],-9.5,-60,#748967
Arara do Para [aap-2],-4.24,-53.34,#B589A6
Arára_Pará [aap],-4.2422,-53.3745,#B475A0
Araucanian [arn-2],-43,-73.5,#A28899
Arawak [arw],-8,-37.3,#914D81
Araweté [awt],-4.142017,-52.416914,#A367A4
Arbanasi [aln-3],44.11,15,#516267
Arbëresh [als-3],39.02,17,#466652
Archi [aqc],42.07,46.86,#27506C
Are 'Are [alu],-9.342,161.203,#AF6690
Arem [aem],18.15,105.5,#4AA151
Arguni [agf],-2.667,132.5,#95746F
Ari [aac],-7.916,142.34,#A9706B
Aribwatsa [laz],-6.667,146.917,#978965
Aribwaungg [ylu],-6.592,146.874,#847758
Arifama-Miniafia [aai],-9.142,149.279,#984870
Arikapu [ark],-13,-62.5,#905899
Arikara [ari],40,-97,#90588E
Aringa [luc],3,31,#52A14F
Aritinngithigh [rrt],-13,141.67,#BD9B84
Arizona Tewa [tew],35.8,-110.4,#715C9F
Armenian [hye],40,45,#435486
Armenian_Western [hye-2],40,40,#397567
Aromanian [rup],42,23,#405857
Arop-Lokep [apr],-5.333,147.083,#A68A74
Arosi [aia],-10.333,161.5,#9E6D6F
Arrernte_Central [are],-22.85,133.7,#C4C082
Arrernte_Eastern [are-2],-23.292,134.445,#C1CC83
Arrernte_Mparntwe [aer],-24,136,#BFC282
Arrernte_Pertame [xxx-82],-24.5,132,#C1CD81
Arvanitika [als-2],38.42,23,#416F45
As [asz],-0.722,131.787,#9A7864
Asaro_Upper [aso],-5.967,145.292,#905681
Asharon [acz],10.8,30.3,#AC9D91
Asheninka_Apurucayali [cpc],-10.018,-74.793,#894F97
Ashéninka_Perené [prq],-10.8734,-75.245,#8A7094
Ashéninka_Pichis [cpu],-9.9833,-74.9833,#8D6985
Ashéninka_Ucayali-Yurúa [cpb],-10.1619,-74.0234,#796387
Ashkun [ask],35.178,70.75,#837D84
Ashuslay [cag-2],-23.5,-60.5,#7176AE
Asienara [asi],-3.75,133.33,#98506E
Asmat [asc],-5.167,138.5,#A75085
Asmat_North [nks],-5,138.5,#B16F8C
Assamese [asm],26.5,93,#67846C
Assiniboine [asb],49,-100,#5841A0
Asturian [ast],43.33,-6,#88775A
Asurini [asn],-3.3,-49.3,#9F7F89
Asuriní_Tocantins [asu],-3.3,-50,#A571B1
Ata [ata],-5.667,151,#A566A1
Ata Manobo [atd],7.845,125.506,#9A7E8C
Atacameño [kuz],-23,-69,#6B3E8F
Atakapa [aqp],30,-93,#7F71A8
Atamanu [jal],-3.396,129.313,#94836C
Atampaya [amz],-11.33,142.5,#BFA370
Atayal [tay],24.5,121,#7F808F
Atchin [upv],-16,167.333,#70825C
Ateso [teo],1.915,33.955,#86836A
Athpare [aph],26.75,87.33,#737971
Atikamekw [atj],48,-74,#A55D87
Atong [aot],25.5,90.5,#7A927F
Atsi [atb-2],28,93.5,#48A187
Atsugewi [atw],40.75,-121,#82729A
Atta_Pamplona-1 [att-2],18.46,121.341,#AE7F75
Atta_Pamplona-2 [att],18.458,121.342,#A6816A
Au [avt],-3.5,142.083,#A05E8F
Auhelawa [kud],-10.284,151.02,#91518C
Aulua [aul],-16.33,167.694,#958171
Aurland [nob-3],60.87,7.23,#59895B
Austral [aut],-23.377,-149.498,#9C7F99
Auyana [auy],-6.523,145.708,#A3547D
Auye [auu],-3.495,136.002,#B1629C
Avá-Canoeiro [avv],-13.166403,-47.928611,#B27AB0
Avar [ava],42.54,46.7,#403A6D
Avatime [avn],6.85,0.44,#4C8189
Avava [tmb],-16.224,167.523,#8F8475
Aveteian [xxx-101],-16.443,167.43,#958C80
Avok [xxx-37],-16.53,167.7,#838375
Avokaya [avu],5,30.2,#4EA254
Awa [awb],-6.75,145.667,#A569BD
Awa Pit [kwi],0.75,-78.5,#6B5E6B
Awad Bing [bcu],-5.584,146.349,#968467
Awadhi [awa],27.5,81.5,#708767
Awar [aya],-4,144.625,#818763
Awara [awx],-6.094,146.441,#957299
Awbono [awh],-5.119,139.201,#8F5875
Aweer [bob],-1.717,40.967,#A1875B
Awera [awr],-2.677,136.242,#BC6A8F
Awetí [awe],-12.926,-54.277,#B09CA4
Awin [awi],-5.833,142.5,#9A6E7B
Awing [azo],5.88,10.24,#698987
Awiya [som-2],10.851,36.892,#5B935F
Awngi [awn],10.83,36.67,#7C896D
Awtuw [kmn],-3.5,141.917,#B5908E
Awyi [auw],-3,140.75,#9A7A89
Axamb [ahb],-16.507,167.703,#837E7A
Axi [yix],24.4,103.44,#2BAAA6
Axininca [cpc-2],-9,-75,#815595
Axvax [akv],42.379,46.384,#375A6E
Aymara [ayr],-16,-69.5,#836193
Aymara_Chile [ayc],-19.15,-69.4,#757087
Aymara_Muylaq' [ayr-2],-16.675,-70.712,#7A5E94
Äynu [aib],38.069,76.227,#617A58
Ayoré [ayo],-20.5,-59.25,#A47B89
Azerbaijani [azj],40.5,48.5,#757362
Azeri [azb],40.67,47.75,#48655F
Azha [aza],23.37,104.25,#2BABA8
Azhe [yiz],24.2,103.6,#22AFA8
Ba:ngingi Sama [sse],6.133,121.805,#999D81
Baagandji [drl],-32,142.533,#CCBD9D
Babanki [bbk],6.104,10.311,#347E78
Babar_North [bcd],-7.83,129.58,#9C756E
Babar_Southeast [vbb],-7.92,129.67,#8F7575
Babatana [baa],-7.397,157.37,#97747E
Babine-Witsuwit'en [bcr],55,-127,#474BBE
Babungo [bav],6.12,10.42,#64757E
Bača [slv-17],46.21,13.97,#5D5F62
Bachamal [xxx-72],-13.17,130.17,#C2A484
Bada [bhz],-1.793,120.313,#9A7A66
Badimaya [bia],-27.667,120,#CBBD9D
Badjala [xby],-25.084,152.529,#BC986C
Badyara [pbp],11.633,-13.4,#8CA562
Baelelea [bvc],-8.453,160.66,#B26485
Baenggu [bvd],-8.506,160.706,#B56283
Baetora [btr],-15.258,168.166,#A55F7B
Bafo [bwt],6.351,10.229,#677385
Bafut [bfd],6.083,10.0999,#3E8456
Baga Mboteni [bcg],10.83,-14.55,#7F8D60
Bagirmi [bmi],10.2,17,#97D154
Bagri [bgq],29.6,74.3,#6F726E
Bagulal [kva],42.56,46.17,#5B7074
Bagusa [kwe-3],-1.905,137.932,#AD558E
Bahinemo [bjh],-4.435,142.726,#904A8A
Bahing [bhj],27.27,86.56,#62BA82
Bahnar [bdq],14,108.5,#979C62
Bai [bca],26,100,#3EA5C1
Baikeno [bkx],-9.3,124.32,#984CA1
Baima [bqh],30.32,107.34,#32AA78
Bainapi [dby],-7.904,142.715,#A77378
Baining [gcc-2],-4.6,152,#987A98
Bajau_Semporna [ssb],4.5,118.5,#858173
Bajau_Sulawesi [bdl],-3.75,122.5,#8B8670
Baka [bdh],4.8,31.6,#64B36E
Bakairí [bkq],-14,-55,#7C526D
Bakairí_West [bkq-2],-14.7302,-56.2479,#866790
Baki [bki],-16.717,168.138,#967B78
Bakoko [bkh],4.2,9.67,#599276
Balami [new-3],27.8,85.25,#6EAB7F
Balangao [blw],17.167,120.333,#98968A
Balanta [ble],12,-15,#837F61
Balantak [blz],-0.82,123.431,#A5A077
Balearic [cat-3],39.5,3,#5F8C55
Balendru [led],1.968,30.485,#41A137
Bali-Vitu [wiv],-4.733,149.283,#B27880
Balinese [ban],-8.583,115.25,#8DA163
Balochi [bgp-2],27,63.5,#6E5A58
Balti [bft],35.2,76,#459869
Baluchi [bgp],28,62,#46595C
Bambara [bam],12.5,-7.5,#7C885B
Bamu [bcf],-8,143.833,#A35676
Bamun [bax],5.726,10.904,#569952
Bana [bcw],10.42,13.58,#3A8C66
Banda [bnd],-5.25,133.17,#97785C
Banda [bpd],2,22,#56806C
Bandiaal [bqj],13.02,-15.32,#9CA380
Bandjalang [bdy],-28.75,153,#C8AA85
Bandjalang-2 [bdy-2],-28.39,152.61,#CA9D88
Bandjalang-Gidabal [bdy-3],-28.25,152,#C9AA86
Banggai [bgz],-1.42,123.17,#9D9D6D
Banggime [dbb],14.78,-3.76,#7F9392
Bangolan [bgj],6.05,10.45,#647E76
Bangru [hru-3],27.9,93.35,#89967B
Bangubangu [bnx],-4.689,27.693,#676A69
Baniwa_Central [bwi-2],1.4091,-68.1358,#958A7F
Baniwa_Rio Negro [bwi],0.053,-67.43,#8E617D
