name,latitude,longitude,color
Capanahua [kaq],-7,-74,#2C7086
Car [caq],9.167,92.75,#AEAD3C
Carib [car],7.85,-59,#613C87
Catalan [cat],41.4,2.3,#7D9619
Cayuvava [cyb],-12.5,-67,#CC395E
Cebuano [ceb],10,124,#BD7D4A
Chadong [cdy],25.2,110.2,#C7DF9B
Cham_Eastern [cjm],11.333,108.5,#E8DFAA
Cham_Western [cja],12,105.5,#F1E5A9
Chamorro [cha],13.583,145,#C96C40
Chantyal [chx],28.75,83.5,#28C191
Chechen [che],43.13,45.54,#208376
Chemehuevi [ute-3],34.33,-115.17,#3F7363
Chepang [cdm],28.05,83.92,#2F8F98
Cherokee [chr],35.5,-83.5,#793D8E
Chickasaw [cic],34,-88,#7241D4
Chimariko [cid],41,-123,#513BA9
Chin_Daai [dao],21.1,93.65,#6E92A7
Chin_Falam [cfm],22.9,93.67,#557392
Chin_Tiddim [ctd],23.333,93.667,#8CA6CE
Chinook [chh],46,-124,#9E3650
ChiNyanja [nya],-15,35,#D84B77
Chiricahua [apm],33.5,-108,#8523B2
Chitimacha [ctm],29.67,-91,#5659B7
Chittagong [ben-2],22.37,91.8,#29C349
Chöcangacakha [cgk],27.5,90.88,#3DB6B1
Choctaw [cho],32.25,-88.5,#6A49C2
Cholon [cht],-8,-77.5,#5F439C
Chontal [chd],18.17,-92.58,#996224
Chrau [crw],10.667,107.5,#E3D283
Chukchi [ckt],67,-173,#4F7E69
Chumash [boi],34.67,-120.25,#9F3F7B
Chuvash [chv],55.5,47.5,#0D9074
CiLuba [lua],-6,22,#D43879
Classical Malay [xxx-96],2.2,102.5,#DD9647
Coahuilteco [xxx-6],28,-100,#6133B8
Cocopa [coc],32.5,-115,#4E29C2
Coeur d'Alene [crd],47.33,-117,#9B3C72
Cogtse Gyarong [jya],32.1,100.9,#54619F
Comanche [com],33.5,-101.5,#486D61
Comox [coo],49.75,-125,#8B3349
Coos [csz],43.5,-124.17,#72464C
Cora [crn],23.333,-99,#6C354E
Cornish [cor],50.5,-4.5,#A0813E
Cree_Plains [crk],54,-116,#9A3371
Cree_Woods [cwd],58,-102,#873372
Creek [mus],30.41,-85.2,#4F27BD
Crow [cro],45.5,-108,#7723D0
Cua [cua],15.167,108.667,#EAFA85
Cubeo [cub],1.33,-70.5,#295670
Cupeño [cup],33.17,-116.5,#254878
Czech [ces],50,14.5,#488D3A
Dadua [gal-2],-8.135,125.638,#D1748C
Daga [dgz],-10,149.25,#80699D
