name,latitude,longitude,color,family,country
Dongwang [khg],28.25,99.55,#45CAA8,Tibeto-Burman,China
Doutai [tds],-3.25,138.25,#76A693,Lakes Plains,Indonesia
Doyayo [dow],8.67,13.08,#B5557B,Adamawa-Ubangi,Cameroon
Drehu [dhv],-21,167.083,#D6A55F,Austronesian,New Caledonia
Drokpa [bod-5],29.05,84.5,#2FC5B3,Tibeto-Burman,China
Dulong [duu],28,98.333,#58A8A9,Tibeto-Burman,China
Dumaki [dmk],36.167,74,#2DAC3E,Indo-European,Pakistan
Dumi [dus],27.25,86.67,#3D81A9,Tibeto-Burman,Nepal
Dumo [vam],-2.667,141.25,#AF788E,Skou,Papua New Guinea
Dura [drq],28.5,84.25,#3DCC77,Tibeto-Burman,Nepal
Dutch [nld],52,7,#6F8910,Indo-European,Netherlands
Dyirbal [dbl],-17.583,145.5,#6BA1AB,Pama-Nyungan,Australia
Dzongkha [dzo],27.5,89.5,#2FAC97,Tibeto-Burman,Bhutan
Edolo [etr],-6.083,142.667,#4F6DB0,Trans New Guinea,Papua New Guinea
Ejagham [etu],5.6,9,#AC7374,Niger-Kongo,Cameroon
Ekagi [ekg],-3.917,136.25,#694BA8,Trans New Guinea,Indonesia
Elopi [dbf],-3.083,137.333,#9EADAA,Lakes Plains,Indonesia
Embaloh [emb],1.1628,112.37,#EB6F96,Austronesian,Indonesia
Embera_Baudo [bdc],5.2,-76.8,#6C9C96,Chocoan,Colombia
Enggano [eno],-5.333,102.25,#D06B73,Austronesian,Indonesia
English [eng],52,0,#748D03,Indo-European,Britain
Erzgebirgisch [nds-3],50.58,13,#66761C,Indo-European,Germany
Estonian [est],59,25,#5B942B,Uralic,Estonia
Eton [eto],4,11.5,#C65B60,Niger-Kongo,Cameroon
Even [eve],68,130,#397A91,Tungusic,Russia
Evenki [evn],56,125,#307E81,Tungusic,Russia
Ewe [ewe],6,1,#C07F66,Niger-Kongo,Ghana
Eyak [eya],60.5,-145,#61468E,Dene-Yeniseic,USA
Fang [fan],0.5,11,#C45656,Niger-Kongo,Equatorial Guinea
Faroese [fao],61.5,-7,#5EA60A,Indo-European,Denmark
Farsi [pes],32,54,#6E6B2E,Indo-European,Iran
Fasu [faa],-6.417,143.167,#4266B5,Trans New Guinea,Papua New Guinea
Fijian [fij],-18,178.333,#C9777D,Austronesian,Fiji
Finnish [fin],62,25,#5A8631,Uralic,Finland
Fordata [frd],-7.17,131.5,#D467A7,Austronesian,Indonesia
Fore [for],-6.75,145.5,#3E3EA6,Trans New Guinea,Papua New Guinea
French [fra],48,3,#849303,Indo-European,France
Frisian [frs],53.2,5.76,#6D9E14,Indo-European,Netherlands
Fula [fuh],11.5,-12.5,#B35576,Niger-Kongo,Guinea
